item_no,text,family,lane,argument,cluster_id,cluster_name,originator,originator_work,originator_year,real_source_cited,verdict
131,No absolute frame.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
132,Equivalence principle validation.,A,A-REL,ARG-R04,R04,The equivalence principle validates a local rest frame,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Einstein equivalence principle,STANDARD PHYSICS
133,GR geocentric solutions possible.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
134,No orbital acceleration detected.,A,A-EXP,ARG-A26,A26,No orbital acceleration or rotation has ever been directly detected,Walter van der Kamp,De Labore Solis,1988,,SELF-CONTRADICTED
135,Inertial frame symmetry.,A,A-REL,ARG-R03,R03,No experiment detects absolute motion; only relative motion is observable,Walter van der Kamp,The Heart of the Matter,1968,"Henri Poincaré 1904, “The Present and the Future of Mathematical Physics” (St Louis)",STANDARD PHYSICS
136,Quantum observer centrality.,A,A-REL,ARG-R10,R10,Quantum observer-defined frames put the observer at the centre,,,,,MISLEADING
137,CMB rest frame small velocity.,E,E,ARG-E03,E03,"CMB dipole, dark flow and bulk-flow directionality",Robert Sungenis & Rick DeLano,"Galileo Was Wrong (7th ed., 2013), Vol. I ch. 3 and Vol. II ch. 10",2013,"Kashlinsky et al. 2008; Planck Int. XIII 2014, A&A 561:A97",REFUTED
138,Solar apex inconsistency.,E,E,ARG-E14,E14,"Solar anomalies (oblateness, neutrinos, apex, barycentre wobble)",,,,,MISLEADING
139,Sun's circular path daily.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
140,Ecliptic tilt constancy.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
141,Retrograde motion math valid.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
142,Moon's circular orbit.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
143,Constant constellations.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
144,Polaris fixed.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
145,Zodiacal alignment constant.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
146,Planetary planes observer-aligned.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
147,Celestial equator precision.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
148,Sun's declination repetition.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
149,Psalm 19:4–6 sun's course.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
150,Joshua 10 miracle sun stop.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
151,Habakkuk 3 celestial stillness.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
152,Chronicles 16:30 immovable Earth.,C,C,ARG-C01,C01,"Proof-texts on an immovable, established Earth",William Carpenter,"One Hundred Proofs, proof 50",1885,,UNFALSIFIABLE
153,Psalm 96:10 fixed Earth.,C,C,ARG-C01,C01,"Proof-texts on an immovable, established Earth",William Carpenter,"One Hundred Proofs, proof 50",1885,,UNFALSIFIABLE
154,Genesis 1:14–18 firmament lights.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
155,Job 38 Earth foundation.,C,C,ARG-C03,C03,Proof-texts on foundations and pillars,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
156,Eccles 1:5 sun's circuit.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
157,Isaiah 38 sundial reversal.,C,C,ARG-C02,C02,Proof-texts on a moving Sun,,,,,UNFALSIFIABLE
158,Revelation 6:13 stars fall.,C,C,ARG-C04,C04,Proof-texts on the firmament / dome,Rob Skiba,biblical-cosmology teaching,2015,,UNFALSIFIABLE
159,Microcosm–macrocosm correspondence.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
160,Axis mundi doctrine.,D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
161,Hermetic as above so below.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
162,Sacred geometry centered on observer.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
163,Temple cosmology orientation.,D,D,ARG-D08,D08,"Temple, cathedral and Dendera-zodiac architecture as cosmology",Manly P. Hall,The Secret Teachings of All Ages,1928,"Dendera zodiac, Louvre E 13482, dated c. 50 BCE",SELF-CONTRADICTED
164,Four corners stability symbol.,C,C,ARG-C05,C05,"Circle, four corners and ends of the Earth",Rob Skiba,biblical-cosmology teaching,2015,,SELF-CONTRADICTED
165,Kabbalistic Malkuth fixed.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
166,Alchemical fixed Earth.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
167,Geocentric astrology predictive.,D,D,ARG-D09,D09,Geocentric astrology and zodiacal symbolism as evidence,,,,,UNFALSIFIABLE
168,Gnostic concentric heavens.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
169,Christian mystic heart-center.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
170,Rosicrucian dome symbolism.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
171,Solar Christ circling soul.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
172,Egyptian Nut and Geb model.,D,D,ARG-D16,D16,World mythologies depict a circling sun or a covering sky,,,,,UNFALSIFIABLE
173,Hindu Mount Meru axis.,D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
174,Norse Yggdrasil.,D,D,ARG-D04,D04,Axis mundi / world tree / omphalos symbolism,,,,"Eliade 1949; Guénon, Le Roi du Monde 1927",UNFALSIFIABLE
175,Tibetan mandalas still center.,D,D,ARG-D05,D05,Mandala / still-centre symbolism,,,,"Mircea Eliade, Patterns in Comparative Religion (1949) - reported, not asserted",UNFALSIFIABLE
176,Platonic solid cosmos.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
177,Heaven within mirrors geometry.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
178,Fixed versus volatile elements.,D,D,ARG-D07,D07,Kabbalistic / alchemical / Gnostic / Rosicrucian / Masonic iconography,Manly P. Hall; Helena Blavatsky,The Secret Teachings of All Ages (1928); Isis Unveiled (1877),1928,,UNFALSIFIABLE
179,Direct sensory stillness.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
180,No felt centrifugal force.,A,A-EXP,ARG-A13,A13,No centrifugal effects felt; equatorial bulge has another cause,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
181,Simpler moving sky.,D,D,ARG-D12,D12,Simplicity / common sense favours a fixed Earth,Samuel Rowbotham,Zetetic Astronomy,1849,,NOT DEMONSTRATED
182,Relativity of perception.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
183,Human consciousness defines center.,D,D,ARG-D11,D11,Perception is reliable; the observer defines the centre,Samuel Rowbotham,Zetetic Astronomy (the zetetic method),1849,,NOT DEMONSTRATED
184,Fine-tuning favors centrality.,D,D,ARG-D13,D13,"Meaning, teleology and fine-tuning imply centrality",Robert Sungenis,The Principle (film),2014,,UNFALSIFIABLE
185,Teleological seasons fit Earth.,D,D,ARG-D13,D13,"Meaning, teleology and fine-tuning imply centrality",Robert Sungenis,The Principle (film),2014,,UNFALSIFIABLE
186,Archetypal up/down symmetry.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
187,Infinite universe removes meaning of center.,D,D,ARG-D13,D13,"Meaning, teleology and fine-tuning imply centrality",Robert Sungenis,The Principle (film),2014,,UNFALSIFIABLE
188,Axis alignments repeating.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
189,Galaxy spin bias.,E,E,ARG-E05,E05,Galaxy spin handedness / hemispheric bias,,,,"Land et al. 2008, MNRAS 388:1686; Longo 2011, PLB 699:224; Hayes, Davis & Silva 2017, MNRAS 466:3928; Iye, Yagi & Fukumoto 2021, ApJ 907:123; Patel & Desmond 2024, MNRAS 534:1553",REFUTED
190,Anisotropy toward Earth.,E,E,ARG-E01,E01,CMB 'Axis of Evil' aligns with Earth / the ecliptic,Robert Sungenis & Rick DeLano,The Principle (film),2014,"Land & Magueijo 2005, PRL 95:071301; de Oliveira-Costa et al. 2004; Schwarz et al. 2004",MISLEADING
191,Pioneer/Flyby anomalies repeated.,E,E,ARG-E08,E08,Pioneer and flyby anomalies are Earth-directed,,,,"Anderson et al. 1998, PRL 81:2858; Anderson et al. 2008, PRL 100:091102; Turyshev et al. 2012, PRL 108:241101",REFUTED
192,Solar neutrino problem.,E,E,ARG-E14,E14,"Solar anomalies (oblateness, neutrinos, apex, barycentre wobble)",,,,,MISLEADING
193,Lunar ranging stability.,A,A-EXP,ARG-A20,A20,Lunar laser ranging shows a fixed baseline,,,,Apollo/Lunokhod retroreflector ranging,NOT DEMONSTRATED
194,Photon spin alignment.,E,E,ARG-E13,E13,"Supernova dimming, BAO, birefringence and Lyman-alpha anisotropy",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. II (7th ed., 2013), ch. 10; Vol. I, chs 2-3",2013,,NOT DEMONSTRATED
195,Solar oblateness constancy.,E,E,ARG-E14,E14,"Solar anomalies (oblateness, neutrinos, apex, barycentre wobble)",,,,,MISLEADING
196,Dust inflow Sun–Earth line.,E,E,ARG-E10,E10,Zodiacal dust and Kuiper structure show ecliptic symmetry,,,,,STANDARD PHYSICS
197,GRB anisotropy.,E,E,ARG-E07,E07,Gamma-ray-burst anisotropy,,,,,NOT DEMONSTRATED
198,Earth heart chakra symbolism.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
199,Zodiac cross rotation around center.,D,D,ARG-D09,D09,Geocentric astrology and zodiacal symbolism as evidence,,,,,UNFALSIFIABLE
200,Twelve gates revolving heavens.,D,D,ARG-D09,D09,Geocentric astrology and zodiacal symbolism as evidence,,,,,UNFALSIFIABLE
201,Firmament as electromagnetic dome.,D,D,ARG-D17,D17,An electromagnetic/toroidal dome centred on Earth,Mark Sargent,Flat Earth Clues,2015,"Schumann resonance (real, and a consequence of a spherical cavity)",NOT DEMONSTRATED
202,Toroidal field centered on Earth.,D,D,ARG-D17,D17,An electromagnetic/toroidal dome centred on Earth,Mark Sargent,Flat Earth Clues,2015,"Schumann resonance (real, and a consequence of a spherical cavity)",NOT DEMONSTRATED
203,Schumann resonance planetary pulse.,D,D,ARG-D17,D17,An electromagnetic/toroidal dome centred on Earth,Mark Sargent,Flat Earth Clues,2015,"Schumann resonance (real, and a consequence of a spherical cavity)",NOT DEMONSTRATED
204,Toroid sacred geometry nested.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
205,Helios myth sun circling Earth.,D,D,ARG-D16,D16,World mythologies depict a circling sun or a covering sky,,,,,UNFALSIFIABLE
206,Sundial shadow metaphor.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
207,Mystical cosmography observer central.,D,D,ARG-D06,D06,"Hermetic 'as above, so below' / sacred geometry / microcosm",William Walker Atkinson (as 'Three Initiates'),The Kybalion,1908,"Emerald Tablet, Arabic recensions c. 750–830 CE",UNFALSIFIABLE
208,Lunar ranging fixed baseline.,A,A-EXP,ARG-A20,A20,Lunar laser ranging shows a fixed baseline,,,,Apollo/Lunokhod retroreflector ranging,NOT DEMONSTRATED
209,Eclipse timing by rotating sky.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
210,Seasonal stars via dome.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
211,Constant air pressure bands.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
212,Jet streams sun-driven.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
213,Perfect star circles.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
214,No coriolis coding in drones.,A,A-EXP,ARG-A09,A09,Coriolis effects reassigned to a rotating sky or to electromagnetism,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gaspard-Gustave de Coriolis 1835,STANDARD PHYSICS
215,Marine sextant geocentric.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
216,Radar ECEF coordinates.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
217,Flat radar horizon.,B,B,ARG-B11,B11,"Radar, photogrammetry, SAR and sonar assume a plane",,,,,MISLEADING
218,Venus transits epicyclic math.,D,D,ARG-D03,D03,Geocentric/Ptolemaic models made accurate predictions,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
219,Solar noon symmetry.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
220,Constant solar diameter.,B,B,ARG-B10,B10,Sun and Moon appear the same size; solar diameter constant,Samuel Rowbotham,Earth Not a Globe,1865,,MISLEADING
221,Refraction invoked for curvature.,B,B,ARG-B07,B07,Refraction is invoked ad hoc to rescue curvature,Samuel Rowbotham,Zetetic Astronomy,1849,"Encyclopaedia Britannica article 'Levelling', as reprinted by Rowbotham — the Britannica edition it was taken from has not been identified",MISLEADING
222,Repeated long-range visibility.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
223,Surveying plane assumption.,B,B,ARG-B06,B06,Surveyors assume a plane and make no 'allowance',Samuel Rowbotham,Earth Not a Globe,1865,Encyclopaedia Britannica article 'Levelling',SELF-CONTRADICTED
224,No rotation proof mechanical.,A,A-EXP,ARG-A26,A26,No orbital acceleration or rotation has ever been directly detected,Walter van der Kamp,De Labore Solis,1988,,SELF-CONTRADICTED
225,Ring laser gyro corrections.,A,A-EXP,ARG-A07,A07,Gyroscopes / ring-laser gyros show no Earth rotation,Bob Knodel,GlobeBusters / Behind the Curve,2018,Sagnac 1913; standard ring-laser INS engineering,SELF-CONTRADICTED
226,Fiber Sagnac frame-dependent.,A,A-EXP,ARG-A02,A02,Michelson–Gale / Sagnac interferometry shows a stationary Earth,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"Michelson, Gale & Pearson 1925, ApJ 61:140",REFUTED
227,Weather balloons drift anomaly.,A,A-EXP,ARG-A16,A16,High-altitude balloon drift and sun-angle anomalies,,,,,NOT DEMONSTRATED
228,Horizon level rocket footage.,B,B,ARG-B14,B14,Rocket and balloon footage shows a flat horizon,Charles K. Johnson,Flat Earth News,1972,,MISLEADING
229,Gyrocompass sky-locked.,A,A-EXP,ARG-A19,A19,"Gyrocompasses are sky-locked, not Earth-locked",,,,Gyrocompass operating principle,SELF-CONTRADICTED
230,Stellar scintillation isotropy.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
231,Nav systems Earth-fixed.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
232,Gravimeter constancy.,A,A-EXP,ARG-A15,A15,"Gravimeters, pendulum clocks and torsion balances register nothing of the Earth's motion",,,,,NOT DEMONSTRATED
233,Tidal nodes sky torque.,A,A-EXP,ARG-A27,A27,Tides explained by sky/firmament torque,,,,,NOT DEMONSTRATED
234,Magnetosphere Earth-centered.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
235,Aurora curtains Earth-focused.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
236,Flight times symmetric.,A,A-EXP,ARG-A08,A08,Aircraft don't compensate for spin; east/west flight times symmetric,Samuel Rowbotham,Earth Not a Globe,1865,Inertial navigation systems measure Earth rate on every flight,REFUTED
237,Balloon sun-angle mismatch.,A,A-EXP,ARG-A16,A16,High-altitude balloon drift and sun-angle anomalies,,,,,NOT DEMONSTRATED
238,Bolide entry clustering.,E,E,ARG-E16,E16,"Meteor, bolide and micrometeor distributions",,,,,STANDARD PHYSICS
239,Meteor showers calendar-fixed.,E,E,ARG-E16,E16,"Meteor, bolide and micrometeor distributions",,,,,STANDARD PHYSICS
240,Stellar proper motion tiny.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
241,No annual airglow wind.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
242,Micrometeor isotropy.,E,E,ARG-E16,E16,"Meteor, bolide and micrometeor distributions",,,,,STANDARD PHYSICS
243,Solar wind bow shock centered.,E,E,ARG-E17,E17,Observed isotropy / Earth-centred fields imply we are the centre,,,,,MISLEADING
244,Satellite ground tracks Earth-based.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
245,Tidal resonance geocentric.,A,A-EXP,ARG-A27,A27,Tides explained by sky/firmament torque,,,,,NOT DEMONSTRATED
246,Equatorial calm belts.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
247,Trade winds sun-driven.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
248,Bird migration sky cues.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
249,Pendulum building sensitivity.,A,A-EXP,ARG-A15,A15,"Gravimeters, pendulum clocks and torsion balances register nothing of the Earth's motion",,,,,NOT DEMONSTRATED
250,Torsion balance null variation.,A,A-EXP,ARG-A15,A15,"Gravimeters, pendulum clocks and torsion balances register nothing of the Earth's motion",,,,,NOT DEMONSTRATED
251,Seiche oscillations periodic.,A,A-EXP,ARG-A27,A27,Tides explained by sky/firmament torque,,,,,NOT DEMONSTRATED
252,Tidal bores moon visual timing.,A,A-EXP,ARG-A27,A27,Tides explained by sky/firmament torque,,,,,NOT DEMONSTRATED
253,Solar tables geocentric.,A,A-REL,ARG-R08,R08,"Practical systems use Earth-fixed coordinates, therefore Earth is fixed",Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,"WGS84, ITRF, ECEF/ECI, nautical almanacs",MISLEADING
254,Analemma lamp artifact.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
255,Sun apparent speed constant.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
256,Atmospheric superrotation contradiction.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
257,No equatorial centrifugal relief.,A,A-EXP,ARG-A13,A13,No centrifugal effects felt; equatorial bulge has another cause,Samuel Rowbotham,Earth Not a Globe,1865,,REFUTED
258,Ballistics ignore rotation.,A,A-EXP,ARG-A14,A14,Ballistics and artillery ignore Earth's rotation,Samuel Rowbotham,Earth Not a Globe,1865,Standard long-range fire-control tables,REFUTED
259,Bridges no curvature allowance.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
260,Tower sight lines beyond curve.,B,B,ARG-B04,B04,"Long-range visibility of ships, lighthouses and towers",Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. II",1881,,MISLEADING
261,Microwave links flat.,B,B,ARG-B05,B05,"Engineering makes no curvature allowance (canals, rail, pipelines, bridges)",William Carpenter,One Hundred Proofs that the Earth Is Not a Globe,1885,,REFUTED
262,Laser canal tests flat.,B,B,ARG-B03,B03,Bedford Level / laser canal tests show no curvature,Samuel Rowbotham,Old Bedford Canal trials,1838,Wallace 1870; Oldham 1901,REFUTED
263,Mirage optical ducts.,B,B,ARG-B13,B13,Mirage and optical ducting explain far sightings,,,,,SELF-CONTRADICTED
264,No naked-eye parallax.,A,A-EXP,ARG-A05,A05,No measurable stellar parallax,Samuel Rowbotham,"Zetetic Astronomy, 3rd ed. enl. (1881), ch. III (as “Parallax”)",1881,"Bessel 1838 (61 Cygni, 0.314″); ESA Gaia DR3",REFUTED
265,Planet brightness epicycles.,D,D,ARG-D03,D03,Geocentric/Ptolemaic models made accurate predictions,Robert Sungenis,"Galileo Was Wrong, Vol. I",2006,,STANDARD PHYSICS
266,Libration perspective optical.,A,A-EXP,ARG-A22,A22,The sky's daily appearance is equally described by a moving sky,Claudius Ptolemy (via the modern movement),Almagest,c. 150 CE,,STANDARD PHYSICS
267,Constellation stability.,B,B,ARG-B08,B08,Star trails / Polaris fixed / southern circumpolar geometry,Eric Dubay,200 Proofs Earth Is Not a Spinning Ball,2015,,REFUTED
268,Wind bands sun-synced.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
269,Cloud opposite spin.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
270,Ring stability issue.,A,A-EXP,ARG-A25,A25,Orbital / lunar / ring stability objections,,,,,NOT DEMONSTRATED
271,Lightning frequency sun path.,A,A-EXP,ARG-A10,A10,No wind or drag is felt from the Earth's motion,Samuel Rowbotham,"Earth Not a Globe (3rd ed., enl.)",1881,,REFUTED
272,Any point inertial possible.,A,A-REL,ARG-R01,R01,General covariance permits a stationary-Earth frame,Walter van der Kamp,De Labore Solis: Airy's Failure Reconsidered,1988,"Einstein, general relativity (1915)",STANDARD PHYSICS
273,GR allows rotating universe.,A,A-REL,ARG-R05,R05,GR admits rotating-universe solutions / frame dragging,Robert Sungenis & Robert Bennett,"Galileo Was Wrong, Vol. I",2006,Gödel 1949; Lense–Thirring 1918; Gravity Probe B,MISLEADING
